都道府県,事業所数,従業者数,販売額  
北海道,42123,331,5128
青森,12738,80,1230
岩手,12348,76,1188
宮城,17920,135,2199
秋田,11097,66,1011
山形,12047,69,1078
福島,17665,109,1704
茨城,23800,168,2516
栃木,17312,112,1872
群馬,17415,120,1863
埼玉,43046,366,5712
千葉,37186,326,4932
東京,98661,865,15225
神奈川,52125,467,7331
新潟,23696,137,2207
富山,11151,64,958
石川,11515,71,1101
福井,8432,50,734
山梨,8168,50,760
長野,19556,122,1914
岐阜,18932,120,1779
静岡,34044,224,3350
愛知,53843,425,6967
三重,15969,108,1650
滋賀,10779,85,1209
京都,23179,165,2476
大阪,67429,500,8149
兵庫,43414,308,4509
奈良,10269,71,1031
和歌山,11058,59,813
鳥取,5649,34,538
島根,8254,43,642
岡山,16873,113,1639
広島,24652,172,2629
山口,14084,87,1253
徳島,8114,43,577
香川,9425,60,941
愛媛,13943,84,1205
高知,8563,47,634
福岡,43147,304,4532
佐賀,8409,50,687
長崎,14635,82,1197
熊本,17038,108,1538
大分,11790,75,998
宮崎,11262,68,940
鹿児島,17497,101,1359
沖縄,13106,80,949
