"pclass","age","sex","survived"
"1","1st","adult","male",1
"2","1st","adult","male",1
"3","1st","adult","male",1
"4","1st","adult","male",1
"5","1st","adult","male",1
"6","1st","adult","male",1
"7","1st","adult","male",1
"8","1st","adult","male",1
"9","1st","adult","male",1
"10","1st","adult","male",1
"11","1st","adult","male",1
"12","1st","adult","male",1
"13","1st","adult","male",1
"14","1st","adult","male",1
"15","1st","adult","male",1
"16","1st","adult","male",1
"17","1st","adult","male",1
"18","1st","adult","male",1
"19","1st","adult","male",1
"20","1st","adult","male",1
"21","1st","adult","male",1
"22","1st","adult","male",1
"23","1st","adult","male",1
"24","1st","adult","male",1
"25","1st","adult","male",1
"26","1st","adult","male",1
"27","1st","adult","male",1
"28","1st","adult","male",1
"29","1st","adult","male",1
"30","1st","adult","male",1
"31","1st","adult","male",1
"32","1st","adult","male",1
"33","1st","adult","male",1
"34","1st","adult","male",1
"35","1st","adult","male",1
"36","1st","adult","male",1
"37","1st","adult","male",1
"38","1st","adult","male",1
"39","1st","adult","male",1
"40","1st","adult","male",1
"41","1st","adult","male",1
"42","1st","adult","male",1
"43","1st","adult","male",1
"44","1st","adult","male",1
"45","1st","adult","male",1
"46","1st","adult","male",1
"47","1st","adult","male",1
"48","1st","adult","male",1
"49","1st","adult","male",1
"50","1st","adult","male",1
"51","1st","adult","male",1
"52","1st","adult","male",1
"53","1st","adult","male",1
"54","1st","adult","male",1
"55","1st","adult","male",1
"56","1st","adult","male",1
"57","1st","adult","male",1
"58","1st","adult","male",0
"59","1st","adult","male",0
"60","1st","adult","male",0
"61","1st","adult","male",0
"62","1st","adult","male",0
"63","1st","adult","male",0
"64","1st","adult","male",0
"65","1st","adult","male",0
"66","1st","adult","male",0
"67","1st","adult","male",0
"68","1st","adult","male",0
"69","1st","adult","male",0
"70","1st","adult","male",0
"71","1st","adult","male",0
"72","1st","adult","male",0
"73","1st","adult","male",0
"74","1st","adult","male",0
"75","1st","adult","male",0
"76","1st","adult","male",0
"77","1st","adult","male",0
"78","1st","adult","male",0
"79","1st","adult","male",0
"80","1st","adult","male",0
"81","1st","adult","male",0
"82","1st","adult","male",0
"83","1st","adult","male",0
"84","1st","adult","male",0
"85","1st","adult","male",0
"86","1st","adult","male",0
"87","1st","adult","male",0
"88","1st","adult","male",0
"89","1st","adult","male",0
"90","1st","adult","male",0
"91","1st","adult","male",0
"92","1st","adult","male",0
"93","1st","adult","male",0
"94","1st","adult","male",0
"95","1st","adult","male",0
"96","1st","adult","male",0
"97","1st","adult","male",0
"98","1st","adult","male",0
"99","1st","adult","male",0
"100","1st","adult","male",0
"101","1st","adult","male",0
"102","1st","adult","male",0
"103","1st","adult","male",0
"104","1st","adult","male",0
"105","1st","adult","male",0
"106","1st","adult","male",0
"107","1st","adult","male",0
"108","1st","adult","male",0
"109","1st","adult","male",0
"110","1st","adult","male",0
"111","1st","adult","male",0
"112","1st","adult","male",0
"113","1st","adult","male",0
"114","1st","adult","male",0
"115","1st","adult","male",0
"116","1st","adult","male",0
"117","1st","adult","male",0
"118","1st","adult","male",0
"119","1st","adult","male",0
"120","1st","adult","male",0
"121","1st","adult","male",0
"122","1st","adult","male",0
"123","1st","adult","male",0
"124","1st","adult","male",0
"125","1st","adult","male",0
"126","1st","adult","male",0
"127","1st","adult","male",0
"128","1st","adult","male",0
"129","1st","adult","male",0
"130","1st","adult","male",0
"131","1st","adult","male",0
"132","1st","adult","male",0
"133","1st","adult","male",0
"134","1st","adult","male",0
"135","1st","adult","male",0
"136","1st","adult","male",0
"137","1st","adult","male",0
"138","1st","adult","male",0
"139","1st","adult","male",0
"140","1st","adult","male",0
"141","1st","adult","male",0
"142","1st","adult","male",0
"143","1st","adult","male",0
"144","1st","adult","male",0
"145","1st","adult","male",0
"146","1st","adult","male",0
"147","1st","adult","male",0
"148","1st","adult","male",0
"149","1st","adult","male",0
"150","1st","adult","male",0
"151","1st","adult","male",0
"152","1st","adult","male",0
"153","1st","adult","male",0
"154","1st","adult","male",0
"155","1st","adult","male",0
"156","1st","adult","male",0
"157","1st","adult","male",0
"158","1st","adult","male",0
"159","1st","adult","male",0
"160","1st","adult","male",0
"161","1st","adult","male",0
"162","1st","adult","male",0
"163","1st","adult","male",0
"164","1st","adult","male",0
"165","1st","adult","male",0
"166","1st","adult","male",0
"167","1st","adult","male",0
"168","1st","adult","male",0
"169","1st","adult","male",0
"170","1st","adult","male",0
"171","1st","adult","male",0
"172","1st","adult","male",0
"173","1st","adult","male",0
"174","1st","adult","male",0
"175","1st","adult","male",0
"176","1st","adult","female",1
"177","1st","adult","female",1
"178","1st","adult","female",1
"179","1st","adult","female",1
"180","1st","adult","female",1
"181","1st","adult","female",1
"182","1st","adult","female",1
"183","1st","adult","female",1
"184","1st","adult","female",1
"185","1st","adult","female",1
"186","1st","adult","female",1
"187","1st","adult","female",1
"188","1st","adult","female",1
"189","1st","adult","female",1
"190","1st","adult","female",1
"191","1st","adult","female",1
"192","1st","adult","female",1
"193","1st","adult","female",1
"194","1st","adult","female",1
"195","1st","adult","female",1
"196","1st","adult","female",1
"197","1st","adult","female",1
"198","1st","adult","female",1
"199","1st","adult","female",1
"200","1st","adult","female",1
"201","1st","adult","female",1
"202","1st","adult","female",1
"203","1st","adult","female",1
"204","1st","adult","female",1
"205","1st","adult","female",1
"206","1st","adult","female",1
"207","1st","adult","female",1
"208","1st","adult","female",1
"209","1st","adult","female",1
"210","1st","adult","female",1
"211","1st","adult","female",1
"212","1st","adult","female",1
"213","1st","adult","female",1
"214","1st","adult","female",1
"215","1st","adult","female",1
"216","1st","adult","female",1
"217","1st","adult","female",1
"218","1st","adult","female",1
"219","1st","adult","female",1
"220","1st","adult","female",1
"221","1st","adult","female",1
"222","1st","adult","female",1
"223","1st","adult","female",1
"224","1st","adult","female",1
"225","1st","adult","female",1
"226","1st","adult","female",1
"227","1st","adult","female",1
"228","1st","adult","female",1
"229","1st","adult","female",1
"230","1st","adult","female",1
"231","1st","adult","female",1
"232","1st","adult","female",1
"233","1st","adult","female",1
"234","1st","adult","female",1
"235","1st","adult","female",1
"236","1st","adult","female",1
"237","1st","adult","female",1
"238","1st","adult","female",1
"239","1st","adult","female",1
"240","1st","adult","female",1
"241","1st","adult","female",1
"242","1st","adult","female",1
"243","1st","adult","female",1
"244","1st","adult","female",1
"245","1st","adult","female",1
"246","1st","adult","female",1
"247","1st","adult","female",1
"248","1st","adult","female",1
"249","1st","adult","female",1
"250","1st","adult","female",1
"251","1st","adult","female",1
"252","1st","adult","female",1
"253","1st","adult","female",1
"254","1st","adult","female",1
"255","1st","adult","female",1
"256","1st","adult","female",1
"257","1st","adult","female",1
"258","1st","adult","female",1
"259","1st","adult","female",1
"260","1st","adult","female",1
"261","1st","adult","female",1
"262","1st","adult","female",1
"263","1st","adult","female",1
"264","1st","adult","female",1
"265","1st","adult","female",1
"266","1st","adult","female",1
"267","1st","adult","female",1
"268","1st","adult","female",1
"269","1st","adult","female",1
"270","1st","adult","female",1
"271","1st","adult","female",1
"272","1st","adult","female",1
"273","1st","adult","female",1
"274","1st","adult","female",1
"275","1st","adult","female",1
"276","1st","adult","female",1
"277","1st","adult","female",1
"278","1st","adult","female",1
"279","1st","adult","female",1
"280","1st","adult","female",1
"281","1st","adult","female",1
"282","1st","adult","female",1
"283","1st","adult","female",1
"284","1st","adult","female",1
"285","1st","adult","female",1
"286","1st","adult","female",1
"287","1st","adult","female",1
"288","1st","adult","female",1
"289","1st","adult","female",1
"290","1st","adult","female",1
"291","1st","adult","female",1
"292","1st","adult","female",1
"293","1st","adult","female",1
"294","1st","adult","female",1
"295","1st","adult","female",1
"296","1st","adult","female",1
"297","1st","adult","female",1
"298","1st","adult","female",1
"299","1st","adult","female",1
"300","1st","adult","female",1
"301","1st","adult","female",1
"302","1st","adult","female",1
"303","1st","adult","female",1
"304","1st","adult","female",1
"305","1st","adult","female",1
"306","1st","adult","female",1
"307","1st","adult","female",1
"308","1st","adult","female",1
"309","1st","adult","female",1
"310","1st","adult","female",1
"311","1st","adult","female",1
"312","1st","adult","female",1
"313","1st","adult","female",1
"314","1st","adult","female",1
"315","1st","adult","female",1
"316","1st","adult","female",0
"317","1st","adult","female",0
"318","1st","adult","female",0
"319","1st","adult","female",0
"320","1st","child","male",1
"321","1st","child","male",1
"322","1st","child","male",1
"323","1st","child","male",1
"324","1st","child","male",1
"325","1st","child","female",1
"326","2nd","adult","male",1
"327","2nd","adult","male",1
"328","2nd","adult","male",1
"329","2nd","adult","male",1
"330","2nd","adult","male",1
"331","2nd","adult","male",1
"332","2nd","adult","male",1
"333","2nd","adult","male",1
"334","2nd","adult","male",1
"335","2nd","adult","male",1
"336","2nd","adult","male",1
"337","2nd","adult","male",1
"338","2nd","adult","male",1
"339","2nd","adult","male",1
"340","2nd","adult","male",0
"341","2nd","adult","male",0
"342","2nd","adult","male",0
"343","2nd","adult","male",0
"344","2nd","adult","male",0
"345","2nd","adult","male",0
"346","2nd","adult","male",0
"347","2nd","adult","male",0
"348","2nd","adult","male",0
"349","2nd","adult","male",0
"350","2nd","adult","male",0
"351","2nd","adult","male",0
"352","2nd","adult","male",0
"353","2nd","adult","male",0
"354","2nd","adult","male",0
"355","2nd","adult","male",0
"356","2nd","adult","male",0
"357","2nd","adult","male",0
"358","2nd","adult","male",0
"359","2nd","adult","male",0
"360","2nd","adult","male",0
"361","2nd","adult","male",0
"362","2nd","adult","male",0
"363","2nd","adult","male",0
"364","2nd","adult","male",0
"365","2nd","adult","male",0
"366","2nd","adult","male",0
"367","2nd","adult","male",0
"368","2nd","adult","male",0
"369","2nd","adult","male",0
"370","2nd","adult","male",0
"371","2nd","adult","male",0
"372","2nd","adult","male",0
"373","2nd","adult","male",0
"374","2nd","adult","male",0
"375","2nd","adult","male",0
"376","2nd","adult","male",0
"377","2nd","adult","male",0
"378","2nd","adult","male",0
"379","2nd","adult","male",0
"380","2nd","adult","male",0
"381","2nd","adult","male",0
"382","2nd","adult","male",0
"383","2nd","adult","male",0
"384","2nd","adult","male",0
"385","2nd","adult","male",0
"386","2nd","adult","male",0
"387","2nd","adult","male",0
"388","2nd","adult","male",0
"389","2nd","adult","male",0
"390","2nd","adult","male",0
"391","2nd","adult","male",0
"392","2nd","adult","male",0
"393","2nd","adult","male",0
"394","2nd","adult","male",0
"395","2nd","adult","male",0
"396","2nd","adult","male",0
"397","2nd","adult","male",0
"398","2nd","adult","male",0
"399","2nd","adult","male",0
"400","2nd","adult","male",0
"401","2nd","adult","male",0
"402","2nd","adult","male",0
"403","2nd","adult","male",0
"404","2nd","adult","male",0
"405","2nd","adult","male",0
"406","2nd","adult","male",0
"407","2nd","adult","male",0
"408","2nd","adult","male",0
"409","2nd","adult","male",0
"410","2nd","adult","male",0
"411","2nd","adult","male",0
"412","2nd","adult","male",0
"413","2nd","adult","male",0
"414","2nd","adult","male",0
"415","2nd","adult","male",0
"416","2nd","adult","male",0
"417","2nd","adult","male",0
"418","2nd","adult","male",0
"419","2nd","adult","male",0
"420","2nd","adult","male",0
"421","2nd","adult","male",0
"422","2nd","adult","male",0
"423","2nd","adult","male",0
"424","2nd","adult","male",0
"425","2nd","adult","male",0
"426","2nd","adult","male",0
"427","2nd","adult","male",0
"428","2nd","adult","male",0
"429","2nd","adult","male",0
"430","2nd","adult","male",0
"431","2nd","adult","male",0
"432","2nd","adult","male",0
"433","2nd","adult","male",0
"434","2nd","adult","male",0
"435","2nd","adult","male",0
"436","2nd","adult","male",0
"437","2nd","adult","male",0
"438","2nd","adult","male",0
"439","2nd","adult","male",0
"440","2nd","adult","male",0
"441","2nd","adult","male",0
"442","2nd","adult","male",0
"443","2nd","adult","male",0
"444","2nd","adult","male",0
"445","2nd","adult","male",0
"446","2nd","adult","male",0
"447","2nd","adult","male",0
"448","2nd","adult","male",0
"449","2nd","adult","male",0
"450","2nd","adult","male",0
"451","2nd","adult","male",0
"452","2nd","adult","male",0
"453","2nd","adult","male",0
"454","2nd","adult","male",0
"455","2nd","adult","male",0
"456","2nd","adult","male",0
"457","2nd","adult","male",0
"458","2nd","adult","male",0
"459","2nd","adult","male",0
"460","2nd","adult","male",0
"461","2nd","adult","male",0
"462","2nd","adult","male",0
"463","2nd","adult","male",0
"464","2nd","adult","male",0
"465","2nd","adult","male",0
"466","2nd","adult","male",0
"467","2nd","adult","male",0
"468","2nd","adult","male",0
"469","2nd","adult","male",0
"470","2nd","adult","male",0
"471","2nd","adult","male",0
"472","2nd","adult","male",0
"473","2nd","adult","male",0
"474","2nd","adult","male",0
"475","2nd","adult","male",0
"476","2nd","adult","male",0
"477","2nd","adult","male",0
"478","2nd","adult","male",0
"479","2nd","adult","male",0
"480","2nd","adult","male",0
"481","2nd","adult","male",0
"482","2nd","adult","male",0
"483","2nd","adult","male",0
"484","2nd","adult","male",0
"485","2nd","adult","male",0
"486","2nd","adult","male",0
"487","2nd","adult","male",0
"488","2nd","adult","male",0
"489","2nd","adult","male",0
"490","2nd","adult","male",0
