県,実 収 入,世帯主収入,消 費 支 出,食料費割合,住居費割合,光熱・水道費割合,家具・家事用品費割合,被服及び履物費割合,保健医療費割合,交通・通信費割合,教育費割合,教養娯楽費割合,平均消費性向
北 海 道,513.4,420.2,285.2,23.0,7.9,9.8,3.2,4.2,4.1,12.6,3.2,9.5,71.3
青 森 県,437.5,335.9,243.6,25.9,4.0,12.6,3.8,3.3,5.1,13.5,2.0,8.0,72.7
岩 手 県,507.4,407.6,274.0,25.2,8.1,10.5,3.4,4.2,4.4,13.8,2.6,8.4,73.2
宮 城 県,472.9,383.4,287.9,24.9,6.8,8.8,3.4,4.4,4.3,13.6,3.3,9.6,83.1
秋 田 県,435.7,325.3,266.6,23.9,4.6,10.6,3.8,3.7,4.1,15.7,2.3,9.3,78.0
山 形 県,565.6,399.7,308.6,23.2,5.7,10.1,3.2,3.7,4.3,15.9,3.3,8.3,72.7
福 島 県,606.7,442.1,288.6,23.1,5.5,9.9,3.6,3.4,3.4,15.1,3.8,8.4,62.7
茨 城 県,574.8,461.6,286.3,23.1,5.3,8.4,3.5,3.7,4.1,16.3,4.6,9.3,72.4
栃 木 県,652.1,503.3,329.2,22.6,5.6,7.8,3.6,4.2,4.7,17.1,3.8,9.6,71.1
群 馬 県,480.5,376.4,298.7,22.8,3.9,7.0,3.6,4.4,3.4,17.9,3.0,10.0,88.1
埼 玉 県,578.8,489.0,329.4,23.8,6.9,7.7,4.0,4.9,4.0,13.5,6.6,11.2,74.1
千 葉 県,545.9,431.6,299.2,25.0,5.6,7.4,3.8,4.0,4.6,14.4,4.1,10.7,71.6
東 京 都,590.7,493.8,325.0,25.3,8.3,7.3,3.6,4.8,4.8,11.0,4.3,11.8,75.7
神奈川県,513.5,438.1,298.0,25.2,6.5,7.6,3.4,4.3,5.5,12.7,4.5,11.1,78.1
新 潟 県,503.1,366.7,278.8,24.5,4.8,9.9,3.7,3.2,3.7,17.5,2.3,9.3,75.7
富 山 県,639.1,430.0,339.6,22.1,3.8,7.6,3.9,3.6,3.5,14.2,3.3,9.2,70.8
石 川 県,613.5,463.0,335.9,23.2,5.0,7.8,3.2,3.9,4.1,17.8,4.5,9.8,78.7
福 井 県,570.1,370.8,283.5,24.1,6.8,8.7,3.2,3.8,4.1,14.4,2.4,9.0,63.6
山 梨 県,519.6,431.0,300.1,24.1,8.3,8.0,3.7,3.8,3.4,13.3,3.8,9.8,81.2
長 野 県,548.3,425.6,311.3,22.5,7.2,8.2,3.3,3.9,4.9,13.2,4.2,10.0,76.1
岐 阜 県,480.3,378.7,270.8,23.2,4.7,9.3,3.5,3.5,4.3,15.6,4.0,9.7,74.4
静 岡 県,560.1,444.4,286.6,25.4,4.5,8.6,3.1,4.1,4.3,12.1,4.6,10.1,70.9
愛 知 県,510.9,421.6,306.5,25.6,3.7,8.0,3.9,4.8,4.4,14.6,3.9,11.1,82.1
三 重 県,413.0,341.9,301.3,23.0,8.5,7.2,4.8,3.9,4.4,13.9,2.4,10.3,94.7
滋 賀 県,538.0,462.9,291.0,25.1,4.9,8.4,3.3,3.9,4.0,14.6,6.6,9.5,74.6
京 都 府,570.0,446.1,304.9,27.4,4.1,8.0,3.6,4.7,3.8,13.4,5.7,9.6,78.8
大 阪 府,490.3,406.3,267.2,26.8,6.0,8.2,3.0,5.0,4.0,11.8,5.6,9.5,68.2
兵 庫 県,411.9,349.8,260.4,26.9,4.7,7.4,3.9,4.5,4.7,12.5,4.8,10.3,94.5
奈 良 県,579.1,491.0,324.6,22.3,8.7,7.5,3.3,5.0,4.6,14.2,4.0,11.2,73.7
和歌山県,565.2,481.1,265.0,24.8,3.3,8.2,3.9,4.2,4.0,15.3,5.1,9.3,70.9
鳥 取 県,444.2,316.4,268.4,23.8,6.6,8.6,3.6,3.0,4.0,16.3,2.5,8.7,76.9
島 根 県,595.6,391.4,281.8,22.9,6.6,8.5,3.4,3.9,4.4,17.0,2.8,9.8,60.9
岡 山 県,487.1,381.1,285.6,23.6,8.4,8.1,4.0,4.5,3.8,13.5,4.4,9.8,78.1
広 島 県,545.4,446.0,291.9,24.2,6.4,7.9,3.6,4.1,4.4,14.0,4.6,9.7,75.5
山 口 県,531.6,405.3,294.4,22.6,4.1,7.5,3.6,3.8,4.2,19.1,3.4,9.7,71.7
徳 島 県,563.6,433.6,320.1,21.2,7.5,7.0,3.6,4.2,3.8,14.9,4.5,9.4,78.1
香 川 県,541.9,415.9,306.2,21.3,4.4,7.1,3.8,4.0,4.2,14.8,3.2,10.0,69.0
愛 媛 県,426.6,342.6,259.8,24.2,6.4,8.4,3.7,4.2,3.9,14.2,4.3,8.9,75.4
高 知 県,559.1,379.7,319.5,22.1,6.2,7.0,3.5,3.4,3.5,14.1,3.3,10.4,73.8
福 岡 県,485.6,397.7,300.4,23.3,8.5,7.5,3.3,4.7,3.9,12.4,5.8,9.3,78.4
佐 賀 県,538.1,414.3,272.7,23.1,7.0,8.1,3.2,4.1,4.7,14.1,4.0,9.2,68.9
長 崎 県,435.7,356.1,256.3,24.5,9.5,8.3,3.3,3.9,4.0,15.7,1.9,7.8,86.2
熊 本 県,466.8,376.1,279.7,22.8,8.8,7.7,3.7,4.5,4.1,11.9,4.0,9.0,79.4
大 分 県,536.7,445.0,284.2,23.1,5.5,7.8,3.4,3.8,3.7,16.4,3.1,9.6,74.5
宮 崎 県,402.8,322.0,250.5,24.2,5.1,7.3,4.0,3.5,5.1,16.1,2.4,9.7,84.3
鹿児島県,536.5,432.8,290.8,21.5,6.0,6.8,3.2,4.2,4.2,15.8,6.2,9.7,75.1
沖 縄 県,395.8,289.6,225.9,25.1,9.3,9.2,3.3,2.9,4.2,14.3,4.0,8.2,73.3
