年月,死亡数
2006年1月,495
2006年2月,451
2006年3月,452
2006年4月,423
2006年5月,430
2006年6月,427
2006年7月,473
2006年8月,527
2006年9月,475
2006年10月,549
2006年11月,508
2006年12月,572
2007年1月,403
2007年2月,361
2007年3月,388
2007年4月,402
2007年5月,387
2007年6月,371
2007年7月,449
2007年8月,475
2007年9月,398
2007年10月,502
2007年11月,491
2007年12月,570
2008年1月,384
2008年2月,364
2008年3月,387
2008年4月,357
2008年5月,404
2008年6月,352
2008年7月,380
2008年8月,438
2008年9月,405
2008年10月,467
2008年11月,489
2008年12月,541
2009年1月,393
2009年2月,352
2009年3月,366
2009年4月,353
2009年5月,380
2009年6月,354
2009年7月,407
2009年8月,434
2009年9月,412
2009年10月,469
2009年11月,425
2009年12月,577
2010年1月,331
2010年2月,360
2010年3月,381
2010年4月,370
2010年5月,346
2010年6月,343
2010年7月,363
2010年8月,408
2010年9月,378
2010年10月,471
2010年11月,429
2010年12月,483
2011年1月,324
2011年2月,322
2011年3月,341
2011年4月,337
2011年5月,309
2011年6月,301
2011年7月,344
2011年8月,392
2011年9月,368
2011年10月,438
2011年11月,433
2011年12月,502
2012年1月,345
2012年2月,336
2012年3月,333
2012年4月,345
2012年5月,332
2012年6月,313
2012年7月,331
2012年8月,373
2012年9月,366
2012年10月,378
2012年11月,431
2012年12月,490
2013年1月,355
2013年2月,307
2013年3月,311
2013年4月,313
2013年5月,322
2013年6月,317
2013年7月,325
2013年8月,301
2013年9月,345
2013年10月,400
2013年11月,377
2013年12月,440
