îN,äCäOèoçëé“êî
1980,3909333
1981,4006388
1982,4086138
1983,4232246
1984,4658833
1985,4948366
1986,5516193
1987,6829338
1988,8426867
1989,9662752
1990,10997431
1991,10633777
1992,11790699
1993,11933620
1994,13578934
1995,15298125
1996,16694769
1997,16802750
1998,15806218
1999,16357572
2000,17818590
2001,16215657
2002,16522804
2003,13296330
2004,16831112
2005,17403565
2006,17534565
2007,17294935
2008,15987250
2009,15445684
2010,16637224
2011,16994200
2012,18490657
2013,17472748
