年月,倒産件数
2010年1月,949
2010年2月,966
2010年3月,1148
2010年4月,962
2010年5月,879
2010年6月,1085
2010年7月,918
2010年8月,964
2010年9月,943
2010年10月,960
2010年11月,935
2010年12月,949
2011年1月,976
2011年2月,884
2011年3月,1041
2011年4月,956
2011年5月,964
2011年6月,1025
2011年7月,965
2011年8月,969
2011年9月,847
2011年10月,906
2011年11月,971
2011年12月,865
2012年1月,951
2012年2月,976
2012年3月,1040
2012年4月,884
2012年5月,1013
2012年6月,896
2012年7月,943
2012年8月,851
2012年9月,852
2012年10月,961
2012年11月,938
2012年12月,824
2013年1月,854
2013年2月,858
2013年3月,836
2013年4月,906
2013年5月,950
2013年6月,906
2013年7月,952
2013年8月,789
2013年9月,817
2013年10月,918
2013年11月,820
2013年12月,726
2014年1月,809
2014年2月,765
2014年3月,744
2014年4月,858
2014年5月,733
2014年6月,847
2014年7月,844
2014年8月,683
2014年9月,785
2014年10月,794
2014年11月,671
2014年12月,647
