年月,株価
2011年1月,1014
2011年2月,1015
2011年3月,964
2011年4月,974
2011年5月,937
2011年6月,968
2011年7月,971
2011年8月,961
2011年9月,1049
2011年10月,1036
2011年11月,1048
2011年12月,1057
2012年1月,1005
2012年2月,1032
2012年3月,1088
2012年4月,1044
2012年5月,950
2012年6月,992
2012年7月,944
2012年8月,900
2012年9月,883
2012年10月,871
2012年11月,922
2012年12月,987
2013年1月,1038
2013年2月,1042
2013年3月,1215
2013年4月,1379
2013年5月,1188
2013年6月,1302
2013年7月,1348
2013年8月,1344
2013年9月,1351
2013年10月,1337
2013年11月,1378
2013年12月,1425
2014年1月,1289
2014年2月,1163
2014年3月,1244
2014年4月,1181
2014年5月,1227
2014年6月,1246
2014年7月,1163
2014年8月,1124
2014年9月,1092
2014年10月,1094.5
2014年11月,1183
2014年12月,1213.5
