年,百貨店,スーパー
1990,11616829,9485850
1991,12164836,10079021
1992,11773036,10273566
1993,11173163,10226190
1994,10947056,10767925
1995,10929849,11514924
1996,11284470,11937190
1997,10864971,12303869
1998,10541665,12591146
1999,10249751,12839022
2000,9899721,12622417
2001,9576039,12714733
2002,9315090,12667659
2003,9086493,12652576
2004,8783159,12613663
2005,8758686,12565422
2006,8610817,12500985
2007,8428727,12733557
2008,7844233,12872378
2009,7054429,12598587
2010,6726734,12737304
2011,6723082,12932685
2012,6649328,12952689
2013,6893038,13057880
