年月,平均株価
2011年1月,10237.92
2011年2月,10624.09
2011年3月,9755.1
2011年4月,9849.74
2011年5月,9693.73
2011年6月,9816.09
2011年7月,9833.03
2011年8月,8955.2
2011年9月,8700.29
2011年10月,8988.39
2011年11月,8434.61
2011年12月,8455.35
2012年1月,8802.51
2012年2月,9723.24
2012年3月,10083.56
2012年4月,9520.89
2012年5月,8542.73
2012年6月,9006.78
2012年7月,8695.06
2012年8月,8839.91
2012年9月,8870.16
2012年10月,8928.29
2012年11月,9446.01
2012年12月,10395.18
2013年1月,11138.66
2013年2月,11559.36
2013年3月,12397.91
2013年4月,13860.86
2013年5月,13774.54
2013年6月,13677.32
2013年7月,13668.32
2013年8月,13388.86
2013年9月,14455.8
2013年10月,14327.94
2013年11月,15661.87
2013年12月,16291.31
2014年1月,14914.53
2014年2月,14841.07
2014年3月,14827.83
2014年4月,14304.11
2014年5月,14632.38
2014年6月,15162.1
2014年7月,15620.77
2014年8月,15424.59
2014年9月,16173.52
2014年10月,16413.76
2014年11月,17459.85
2014年12月,17450.77
